rc_id,region_code
1,0
2022,1
3030,2
7068,3
16319,4
18120,5
19399,6
25679,7
28958,8
62835,9
65936,10
70310,11
79542,12
82740,13
86776,14
91454,15
104762,16
106769,17
109386,18
114539,19
116074,20
118009,21
122275,22
123584,23
125544,24
127959,25
130462,26
133049,27
135872,28
242287,29
253352,30
265543,31
267503,32
270290,33
277944,34
279608,35
286550,36
295347,37
300848,38
302874,39
307518,40
308813,41
327076,42
327667,43
330306,44
331114,45
336719,46
356468,47
363904,48
368585,49
370417,50
380660,51
380843,52
